axis,value,scene,layer,readout,result
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:relief_from_stress,0.017966779660991722
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:help_wounded,0.40924291720348666
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:immediate_compliance,0.318121472995997
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:go_to_surface,0.2641294839575943
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:protect_other,0.44674291720348663
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:protect_others,0.44674291720348663
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:seek_information,0.3490552559192704
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:avoid_blame,0.038875781522861266
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:follow_leader,0.05137578152286127
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:support_leader,0.274059349363174
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:challenge_leader,0.013875781522861272
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:scrutinize_leader,0.2240552559192704
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:faction_loyalty,0.24905934936317398
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:contain_enemy,0.23912948395759426
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:monitor_enemy,0.21581757540773178
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:complete_mission,0.28062147299599705
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:preserve_knowledge,0.22715973392901073
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:contain_threat,0.2641294839575943
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:avoid_pain,0.02647479062258891
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:keep_vow,0.08372595100573743
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:uphold_values,0.08887578152286127
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:redeem_self,0.08887578152286127
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:fulfill_role,0.12637578152286127
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:protect_specific_person,0.40924291720348666
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:test_loyalty,0.29312147299599706
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:escape,0.02238379248445846
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:avenge,0.08887578152286127
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:self_preservation,0.018391803446055663
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:BODY_CIRCADIAN_RESET,0.07205777779912216
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:protect_lives,0.2700673603247712
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:maintain_order,0.30562147299599707
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:seek_status,0.13887578152286129
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:preserve_autonomy,0.009883792484458462
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:serve_authority,0.12637578152286127
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:pursue_truth,0.33824334736940787
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:maintain_bonds,0.4342429172034867
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:seek_comfort,0.03897479062258891
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:self_transcendence,0.09622595100573743
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:accumulate_resources,0.23912948395759426
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S7,util:other,0.15
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:A:escape,0.35837294934685465
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:A:hide,0.257324708889314
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:A:wait,0.5767981442593088
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:help,0.0636004532686027
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:harm,0.11575046844922027
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:ask_info,0.9304180550954967
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:avoid,0.34831421062479256
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:confront,0.5616060008214177
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:comfort,0.39742851846720006
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:praise,0.3071038551792
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:apologize,0.30710385517919997
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:share_resource,0.28903892252159996
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:treat,0.28903892252159996
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:guard,0.3552770089328
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:escort,0.2890389225216
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:command,0.3283672916666666
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:threaten,0.26429562500000003
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:accuse,0.24827770833333337
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:investigate,0.205
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:observe_target,0.35000000000000003
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:verify,0.17500000000000002
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:talk,0.475
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:negotiate,0.4116666666666667
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:signal,0.28
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:call_backup,0.35000000000000003
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,prior:B:propose_trade,0.28
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S6,drv:safetyNeed,0.07267500000000002
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S6,drv:controlNeed,0.6024760499999999
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S6,drv:statusNeed,0.06655842912004047
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S6,drv:affiliationNeed,0.660013338209568
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S6,drv:resolveNeed,0.05442993052326309
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S6,drv:restNeed,0
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S6,drv:curiosityNeed,0.5016985510168125
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,act:aff:loot:A,0.0625
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,act:aff:negotiate:A:B,0.0625
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,act:aff:submit:A:B,0.0625
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,act:cog:monologue:A,0.125
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,act:aff:command:A:B,0.09375
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,act:aff:talk:A:B,0.125
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,act:aff:avoid:A:B,0.0625
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,act:aff:ask_info:A:B,0.09375
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,act:con:challenge:A:B,0.125
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,act:aff:share:A:B,0.0625
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,act:cog:wait:A,0.0625
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,act:cog:observe:A,0.03125
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,act:aff:escort:A:B,0.03125
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,q:aff:talk:A:B,1.1633059763949094
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,q:aff:negotiate:A:B,0.7629557481651229
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,q:aff:escort:A:B,0.4285342027001832
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,q:aff:threaten:A:B,0.4234427417919044
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,q:cog:monologue:A,0.29079411008170725
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,q:aff:loot:A,0.21316057056909352
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,q:aff:avoid:A:B,0.1778520428783669
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,q:aff:guard:A:B,0.16860379191351138
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,q:aff:ask_info:A:B,0.13727654497211755
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,q:aff:share:A:B,0.12335096001108294
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,S8,action_entropy,3.577819531114783
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,STATE,stress,0
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,STATE,ctxDanger,0.15000000000000002
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,OUTCOME,outcome:self_favoring,0.28125
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,OUTCOME,outcome:fair_split,0.125
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,OUTCOME,outcome:concede,0.0625
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,OUTCOME,outcome:no_deal,0.53125
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,OUTCOME,outcome_mean_self,3.0625
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,OUTCOME,outcome_mean_other,1.625
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,OUTCOME,coop_rate,0
A_Power_Sovereignty,0.6666666666666666,S_contest_pressure,OUTCOME,unclassified_rate,0
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,goal:affiliation,0.40924291720348666
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,goal:control,0.34736716446913285
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,goal:exploration,0.32574334736940785
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,goal:wealth,0.17219286606153383
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,goal:status,0.052797333888127025
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,goal:safety,0
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,goal:order,0
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,goal:rest,0.03597933016438792
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:reduce_self_threat,0.08089180344605566
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:stabilize_other,0.40924291720348666
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:verify_claim,0.15
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:preserve_cooperation,0.40924291720348666
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:confront_threat_source,0.15
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:restore_self_control,0.15
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:maintain_trust_signal,0.40924291720348666
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:deescalate_interaction,0.15
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:protect_status_position,0.08887578152286127
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:recover_resources,0.15
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:maintain_contact_channel,0.15
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:follow_order,0.06387578152286127
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:maintain_cohesion,0.48424291720348667
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:maintain_legitimacy,0.15137578152286127
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:assert_autonomy,0
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:protect_self,0.04738379248445846
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:relief_from_stress,0.017966779660991722
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:help_wounded,0.40924291720348666
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:immediate_compliance,0.318121472995997
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:go_to_surface,0.2641294839575943
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:protect_other,0.44674291720348663
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:protect_others,0.44674291720348663
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:seek_information,0.3490552559192704
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:avoid_blame,0.038875781522861266
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:follow_leader,0.05137578152286127
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:support_leader,0.274059349363174
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:challenge_leader,0.013875781522861272
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:scrutinize_leader,0.2240552559192704
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:faction_loyalty,0.24905934936317398
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:contain_enemy,0.23912948395759426
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:monitor_enemy,0.21581757540773178
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:complete_mission,0.28062147299599705
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:preserve_knowledge,0.22715973392901073
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:contain_threat,0.2641294839575943
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:avoid_pain,0.02647479062258891
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:keep_vow,0.08372595100573743
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:uphold_values,0.08887578152286127
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:redeem_self,0.08887578152286127
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:fulfill_role,0.12637578152286127
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:protect_specific_person,0.40924291720348666
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:test_loyalty,0.29312147299599706
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:escape,0.02238379248445846
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:avenge,0.08887578152286127
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:self_preservation,0.018391803446055663
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:BODY_CIRCADIAN_RESET,0.07205777779912216
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:protect_lives,0.2700673603247712
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:maintain_order,0.30562147299599707
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:seek_status,0.13887578152286129
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:preserve_autonomy,0.009883792484458462
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:serve_authority,0.12637578152286127
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:pursue_truth,0.33824334736940787
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:maintain_bonds,0.4342429172034867
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:seek_comfort,0.03897479062258891
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:self_transcendence,0.09622595100573743
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:accumulate_resources,0.23912948395759426
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S7,util:other,0.15
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:A:escape,0.35837294934685465
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:A:hide,0.257324708889314
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:A:wait,0.5767981442593088
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:help,0.0636004532686027
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:harm,0.11575046844922027
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:ask_info,0.9304180550954967
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:avoid,0.34831421062479256
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:confront,0.5616060008214177
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:comfort,0.39742851846720006
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:praise,0.3071038551792
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:apologize,0.30710385517919997
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:share_resource,0.28903892252159996
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:treat,0.28903892252159996
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:guard,0.3673202973712001
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:escort,0.2890389225216
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:command,0.39243895833333337
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:threaten,0.312349375
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:accuse,0.28031354166666667
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:investigate,0.205
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:observe_target,0.35000000000000003
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:verify,0.17500000000000002
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:talk,0.475
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:negotiate,0.4283333333333334
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:signal,0.28
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:call_backup,0.35000000000000003
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S8,prior:B:propose_trade,0.28
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S6,drv:safetyNeed,0.07267500000000002
A_Power_Sovereignty,0.8333333333333334,S_contest_pressure,S6,drv:controlNeed,0.6024760499999999
